Name,Location,Visited
hewlett station yogurt,hewlett ny,False
Joe’s deli,new Rochelle,False
Gordy's Burger House,new ro,False
Bradley’s -larchmont,desserts,False
Cornetta's Restaurant & Marina,piermont. Agnes recco,False
Larchmont village wine,Los Angeles  - amazing sandwiches get the #3 with sopressata salami get extra sun dried tomato spread and olive oil,False
Pasquales deli- tuckahoe ** mozzarella really good,,False
Real people real food,Huntington,False
The French workshop,Long Island,False
Marvel frozen fairy,lido beach one orig but also just opened one in Astoria,False
Spiga bakery- Long Island,,False
The Lazy Boy Saloon,white plains - 2 things: Lobster mac and cheese Tequila wings Your welcome.,False
Hastings tea & coffee,,False
Johnys,mt Vernon- Dave portnoy pizza recco,False
Irish bank,hartsdale *,False
S & S Cheesecake Inc.,Bronx - Agnes wants to try the cheesecake,False
Sweets laboratory,w29 nomad - Japanese dessert,False
Ye’s apothecary,Asian blue Kim BB recco - LES nyc,False
1915 Lanzhou Hand Pulled Noodles,nyc,False
Alberts bar,nyc - midtown 41st,False
Quality Bistro,nyc - butter board 🧈,False
remi flower and coffee,nyc,False
Menkoi sato,nyc,False
Piccola Cucina Osteria Siciliana 196 Spring Street,nyc,False
A salt & battery,nyc,False
YGF Malatang,midtown west self serve hot pot,False
Beck and call,nyc get the rocket fuel (coffee),False
Smashed,nyc - burger put fries in it,False
Laut singapura,nyc - roti tower,False
S’mac,nyc - mac n cheese,False
Hop kee,nyc - Anthony Bourdain recco,False
Lamalo- nyc,,False
Hamburger America,soho nyc - good smashed burgers,False
Sartiano's,nyc,False
Lucky lucky cafe,nyc,False
One fifth,nyc,False
Parla,nyc - uws,False
Claude,nyc - manhattan blackout cake,False
Ella social,nyc - UWS,False
Gnoccheria,nyc,False
Dialogue coffee & flowers,carrot cake latte - nyc Chinatown,False
Spongies cafe,nyc Chinatown,False
Westville,nyc,False
Lattanzi- midtown nyc,Lorne Michaels recco,False
Thai diner,nyc - see TikTok reccos,False
Janie’s cookies,nyc,False
Farina,Brooklyn pizza,False
Lucali- Brooklyn,Taylor swift went there - massive wait,False
Dee best,Brooklyn nyc - zeppolis and such,False
Le crocodile,Brooklyn,False
Sam suny,kips bay nyc,False
Sinigual- nyc,,False
caphe den,queens - coconut matcha,False
Bedford cheese shop,nyc - I want the Hell’s Kitchen Sandwixh,False
Seven grams caffe,nyc - choco chip cookie,False
Tomiño taberna gallega,nyc,False
City cakes,flatiron nyc allegedly got the best choco chip,False
Burrito box nyc,nyc,False
Anntremet cake,nyc - afternoon tea (holiday version) - doesn’t have bathroom and seems kinda bs so maybe not lol,False
Dame,nyc - think hard to get into I want the fish n chips,False
Chick chick,nyc UWS,False
Culture espresso,nyc - cookies,False
Bark bbq,nyc,False
Madre,nyc,False
Spicy village,nyc - noodles !!,False
Ol’Days,NYC - coffee,False
A pasta bar,soho nyc hibachi like pasta place,False
Felix roasting co,nyc,False
Oxomoco- nyc,,False
Butterdose,nyc,False
Bus stop cafe,nyc - Taylor swift reference,False
Sogno toscano,nyc - iced cappuccino,False
Electric burrito,nyc Cali burrito,False
Alidoro- nyc,sandwiches,False
DM restaurant,nyc - let’s get the 7.5 DM,False
Thursday kitchen- nyc LES- Mac and cheese,,False
Ai fiori- nyc,,False
T-swirl crepe,creme brûlée crepe - nyc,False
York grill and juice bar,ues nyc - Vera Cruz sandwich ⭐️⭐️⭐️⭐️⭐️,True
Sweet rehab,delish cookies - nyc near Houston,False
Fedoroffs roast pork,nyc - Barclays and Williamsburg MR. SPINA'S ITALIAN HOAGIE and BRONSON FRIES!,False
Lilia,Brooklyn - sandwich broccoli rabe and cheese,False
Claudia’s,Brooklyn - Guatemalan - good breakfast,False
Butler Bakeshop & Espresso Bar,nyc,False
maialino nyc- want de olive oil cake,,False
Brooklyn high low,Brooklyn,False
Jacques Torres,Brooklyn - best choco chip cookie,False
Baby blues luncheonnette,Brooklyn,False
Ume,Japanese Brooklyn restaurant,False
Land to sea,Brooklyn,False
Leo’s,Williamsburg Brooklyn,False
Bakeri,Brooklyn,False
Chino grande,Williamsburg Brooklyn,False
Lioni Italian heroes,Brooklyn- doo woooper,False
Ciccios pizza,Brooklyn get the sesame one,False
Traif,Brooklyn - cheap tasting menu,False
Kiki’s,nyc,False
Flippers,nyc soho - I need the soufflé pancakes,False
coffee lab on 23rd and park and your first 3 coffees are free!!!,gotta go ASAP as of 4/7 cuz new place,False
Rowdys rooster,nyc,False
Westville- nyc,chicken cutlet Caesar salad and truffle fries,False
La lanterna di vittorio,nyc lasagna flight,False
Almond,nyc - get dinner next time,False
Bennys burritos,nyc,False
Pop up bagels,Greenwich nyc,False
Altro paradiso,nyc (Pam recco lmao),False
Summer salt,nyc,False
Kolkata chai,nyc,False
Softside- nyc soho,,False
Bg cafe,nyc,False
Stuck with me sweets,ice cream - nyc Mott st,False
Barprimi- nyc,ricotta truffle honey crostini,False
Sugar miss tea & cookie,Brooklyn,False
Bagel pub,Brooklyn,False
787 coffee,nyc,False
Westville,nyc,False
Crop circle,nyc Guokui!,False
Sey coffee,Brooklyn,False
Radio bakery,green point Brooklyn - Tuna sandwich on fck that’s good,False
Brooklyn ball factory,Brooklyn,False
Patti Ann’s,Brooklyn Heights - Midwest theme,False
Ayce- buffet hot pot deal,flushing,False
I like food,ridgewood queens - spice bag,False
La Cabra,nyc,False
Gong gan,flushing queens dessert,False
Zeppola bakery,nyc,False
Nizza- nyc burrata toast,,False
Sunday to Sunday,nyc,False
Scampi,nyc get the malfadini,False
Poshpop bakeshop- m and m cookie pie cake,"bleeker st, nyc",False
saravana bhavan,cheese dosa - nyc,False
Blue Ribbon Fried Chicken,nyc,False
Oslo coffee,multiple locations think Brooklyn? Cody rigsby recco (iced coffee esp),False
Cafe renis,queens,False
Vert frais,LIC queens - soufflé pancakes and good ramen,False
Champion pizza,flushing queens,False
Between the bagel,seoul meets bagel - Astoria queens,False
Rosarios- pizza,Astoria queens,False
"Dani’s house of pizza in Kew Gardens, Queens",get the pesto slice with pepperoni and sweet sauce on top,False
Modoo- queens,,False
Peking bbq,queens,False
HQ Chinese day,eden wok,False
Sergio’s in port Chester*,,False
Rraci’s*,,False
Tutta bella,Scarsdale*,False
Jacks bar and restaurant,eastchester* their curry is good,False
McShane's Bar & Restaurant (good burgers and fish n chips)*,,False
vilda’s,Toronto Canada,False
Melo (everything bagel donut),Canada Vancouver??,False
"Winnie the Pooh Afternoon Tea, Westin Bayshore Vancouver",,False
Cafe leon dore- nyc,,False
Suki curry,nyc,False
Bar Pitti,nyc (I want the pappardelle alla fiesolana),False
Cosimo & Johnny's Pizzeria,Eastchester,False
Ciao restaurant,chopped salad and ask for fresh mozzarella and grilled chicken*,False
Jaiya Thai,nyc,False
Jin ramen,nyc,False
Prince street pizza,NY,False
Artichoke Basille's Pizza,NY,False
5 napkin burger,ny,False
Prince tea house,NY,False
Double chicken please- hot honey sandwich- LES nyc,,False
Fresco by Scotto,ny Rockefeller,False
The compound coffee co,NJ want the coffee sampler,False
Biggby coffee,NJ,False
Chocobar cortes,Bronx,False
Kajiken- nyc,see TikTok for noodle recos,False
MELT sandwich shop,white plains,False
886 Taiwanese,st. marks,False
Stein's Market and Deli in New Orleans,,False
Need to get Bibimbap doshirak,,False
Virtue Restaurant in Chicago,Obama ate fried chicken and looked bussin,False
Peaquods,chicago deep dish,False
Giant,chicago BB alum Andy recco,False
Hopleaf,chicago BB alum Andy recco,False
Monteverde,chicago BB alum Andy recco,False
Andros Taverna,chicago BB alum Andy recco,False
Cape cod creamery,Massachusetts,False
"Dinand par ferdi- Paris, nyc",,False
Phil’s pizzeria,Francesco Fries -Syosset LI,False
Nofodoco- blueberry donut maybe LI,,False
12 chairs cafe,nyc - chicken schnitzel salad,True
Mannys bistro,nyc - UWS *****,True
La mercerie,soho - I want the choco chip cookie,True
Cicci di carne,nyc *kevin recco and megan had delish,True
Arthur and son -nyc,,True
Bobbi’s Italian Beef- nyc,chicago hot dog,True
Steve’s key lime,red hook Brooklyn,True
All’ antico vinaio,I want the favolosa- nyc,True
Enly- tiramisu latte,,True
Le Relais de Venise L'Entrecôte,nyc,True
MáLà project,nyc,True
L’entrecote,steak fries,True
Little Spain,nyc - I want the olive oil soft serve,True
Au Zataar,nyc,True
Javelina,nyc,True
Maison pickle,nyc - cheese fries and bread with honey butter,True
Sunday in Brooklyn,Brooklyn get the pancakes with maple praline,True
Fini pizza,Williamsburg Brooklyn - white slice,True
El born,greenpoint bk - tapas,True
Barney greengrass,UWS - latkes,True
Fini pizza,nyc - white lemon slice,True
Rolo’s- queens ny,Jeremey Allen white recco - burger and lasagna good,True
Tazza,coffee *,True
Chunky boss chicken,nyc,True
Laura’s bagel,new Rochelle for long bagel (used to be Sammy’s) Sammy’s stick,True
